AeroDyn airfoil file Created with QBlade CE v2.0.8.3_beta windows on 25.02.2025 at 15:52:59 Compatible with AeroDyn v13.0.
Polar "FX_77-W-121_Re0.012_M0.02_N9.0 360 M" on Foil "FX 77-W-121" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
   -40.000 -0.993878  0.695105  0.324493
   -39.000 -0.982524  0.666871  0.317662
   -38.000 -0.970186  0.638820  0.310701
   -37.000 -0.956890  0.610988  0.303617
   -36.000 -0.942663  0.583408  0.296418
   -35.000 -0.927535  0.556114  0.289111
   -34.000 -0.911535  0.529139  0.281704
   -33.000 -0.894696  0.502515  0.274206
   -32.000 -0.877053  0.476277  0.266626
   -31.000 -0.858641  0.450455  0.258973
   -30.000 -0.839499  0.425081  0.251257
   -29.000 -0.819669  0.400186  0.235713
   -28.000 -0.799196  0.375802  0.220170
   -27.000 -0.778127  0.351957  0.204626
   -26.000 -0.756519  0.328681  0.189082
   -25.000 -0.734430  0.306002  0.173538
   -24.000 -0.711931  0.283947  0.157994
   -23.000 -0.689101  0.262544  0.142450
   -22.000 -0.666035  0.241816  0.126907
   -21.000 -0.642850  0.221789  0.111363
   -20.000 -0.619690  0.202485  0.095819
   -19.000 -0.596741  0.183925  0.080275
   -18.000 -0.574246  0.166129  0.064731
   -17.000 -0.552536  0.149112  0.049188
   -16.000 -0.532072  0.132888  0.033644
   -15.000 -0.327500  0.174500  0.018100
   -14.500 -0.294300  0.166850  0.013900
   -14.000 -0.242400  0.153720  0.006300
   -13.500 -0.190700  0.142910 -0.003300
   -13.000 -0.144900  0.129080 -0.013000
   -12.500 -0.122100  0.125500 -0.016100
   -12.000 -0.102400  0.118440 -0.018700
   -11.000 -0.064400  0.107410 -0.024100
   -10.000 -0.025000  0.096950 -0.029400
    -9.000  0.014500  0.087470 -0.034100
    -8.500  0.029600  0.081550 -0.036600
    -8.000 -0.014300  0.085670 -0.024600
    -7.500 -0.085400  0.090370 -0.012200
    -6.500 -0.228300  0.097620  0.004500
    -6.000 -0.285000  0.096810  0.012600
    -5.000 -0.367200  0.099310  0.019800
    -4.500 -0.458700  0.093700  0.025800
    -4.000 -0.486200  0.091230  0.025900
    -3.500 -0.499800  0.088540  0.024000
    -3.000 -0.514400  0.079960  0.027800
    -2.500 -0.506600  0.078630  0.021600
    -2.000 -0.490600  0.069750  0.023000
    -1.500 -0.455000  0.064940  0.019900
    -1.000 -0.390900  0.059860  0.014900
    -0.500 -0.342000  0.057860  0.011700
     0.000 -0.246300  0.052890  0.003400
     0.500 -0.060500  0.054160 -0.023800
     1.000 -0.025600  0.056300 -0.021900
     1.500  0.002700  0.058210 -0.021500
     2.000  0.036600  0.060130 -0.020300
     2.500  0.059400  0.062810 -0.020800
     3.000  0.095600  0.064930 -0.019300
     3.500  0.124200  0.067510 -0.018900
    25.500  0.959900  0.378390 -0.106700
    26.000  0.968800  0.386920 -0.110100
    26.500  0.967400  0.390040 -0.112500
    27.000  0.586609  0.360699 -0.117720
    28.000  0.597034  0.385934 -0.128159
    29.000  0.606872  0.411793 -0.138598
    30.000  0.616109  0.438245 -0.149037
    31.000  0.624733  0.465256 -0.159476
    32.000  0.632732  0.492796 -0.169916
    33.000  0.640096  0.520829 -0.180355
    34.000  0.646816  0.549324 -0.190794
    35.000  0.652884  0.578244 -0.201233
    36.000  0.658293  0.607556 -0.211672
    37.000  0.663039  0.637224 -0.222112
    38.000  0.667117  0.667211 -0.232551
    39.000  0.670523  0.697481 -0.242990
    40.000  0.673256  0.727998 -0.253429
    41.000  0.675315  0.758724 -0.263868
    42.000  0.676700  0.789622 -0.275589
    43.000  0.677411  0.820655 -0.282110
    44.000  0.677451  0.851783 -0.288648
    45.000  0.676822  0.882970 -0.295198
    46.000  0.675527  0.914176 -0.301755
    47.000  0.673571  0.945364 -0.308313
    48.000  0.670958  0.976495 -0.314867
    49.000  0.667694  1.007531 -0.321412
    50.000  0.663786  1.038433 -0.327939
    51.000  0.659240  1.069164 -0.334444
    52.000  0.654063  1.099685 -0.340919
    53.000  0.648263  1.129959 -0.347358
    54.000  0.641849  1.159948 -0.353752
    55.000  0.634830  1.189614 -0.360095
    56.000  0.627215  1.218922 -0.366378
    57.000  0.619013  1.247834 -0.372594
    58.000  0.610235  1.276315 -0.378734
    59.000  0.600891  1.304329 -0.384790
    60.000  0.590992  1.331841 -0.390754
    61.000  0.580549  1.358817 -0.396618
    62.000  0.569574  1.385223 -0.402372
    63.000  0.558077  1.411026 -0.408009
    64.000  0.546070  1.436194 -0.413519
    65.000  0.533567  1.460695 -0.418894
    66.000  0.520578  1.484498 -0.424126
    67.000  0.507117  1.507574 -0.429206
    68.000  0.493196  1.529894 -0.434126
    69.000  0.478828  1.551430 -0.438877
    70.000  0.464026  1.572154 -0.443453
    71.000  0.448802  1.592040 -0.447844
    72.000  0.433171  1.611064 -0.452044
    73.000  0.417146  1.629202 -0.456046
    74.000  0.400739  1.646430 -0.459842
    75.000  0.383965  1.662727 -0.463425
    76.000  0.366838  1.678073 -0.466791
    77.000  0.349371  1.692448 -0.469932
    78.000  0.331578  1.705833 -0.472843
    79.000  0.313474  1.718213 -0.475520
    80.000  0.295073  1.729571 -0.477958
    81.000  0.276389  1.739894 -0.480153
    82.000  0.257437  1.749167 -0.482100
    83.000  0.238231  1.757380 -0.483798
    84.000  0.218787  1.764521 -0.485244
    85.000  0.199120  1.770583 -0.486435
    86.000  0.179245  1.775558 -0.487371
    87.000  0.159177  1.779438 -0.488049
    88.000  0.138931  1.782219 -0.488471
    89.000  0.118525  1.783899 -0.488636
    90.000  0.097974  1.784474 -0.488544
    91.000  0.077294  1.783944 -0.488198
    92.000  0.056502  1.782310 -0.487599
    93.000  0.035614  1.779573 -0.486750
    94.000  0.014648  1.775738 -0.485653
    95.000 -0.006378  1.770810 -0.484312
    96.000 -0.027447  1.764794 -0.482731
    97.000 -0.048542  1.757698 -0.480915
    98.000 -0.069643  1.749531 -0.478868
    99.000 -0.090732  1.740304 -0.476596
   100.000 -0.111790  1.730029 -0.474104
   101.000 -0.132798  1.718718 -0.471399
   102.000 -0.153737  1.706385 -0.468487
   103.000 -0.174585  1.693048 -0.465376
   104.000 -0.195323  1.678721 -0.462072
   105.000 -0.215929  1.663425 -0.458583
   106.000 -0.236384  1.647177 -0.454917
   107.000 -0.256665  1.629999 -0.451081
   108.000 -0.276751  1.611912 -0.447083
   109.000 -0.300345  1.592940 -0.443268
   110.000 -0.319921  1.573106 -0.438984
   111.000 -0.339237  1.552434 -0.434564
   112.000 -0.358271  1.530953 -0.430015
   113.000 -0.376999  1.508688 -0.425346
   114.000 -0.395397  1.485667 -0.420565
   115.000 -0.413442  1.461920 -0.415680
   116.000 -0.431109  1.437477 -0.410699
   117.000 -0.448375  1.412367 -0.405631
   118.000 -0.465214  1.386624 -0.400482
   119.000 -0.481603  1.360279 -0.395260
   120.000 -0.497517  1.333365 -0.389973
   121.000 -0.512930  1.305916 -0.384627
   122.000 -0.527819  1.277966 -0.379228
   123.000 -0.542159  1.249551 -0.373783
   124.000 -0.555925  1.220706 -0.368296
   125.000 -0.569092  1.191466 -0.362775
   126.000 -0.581637  1.161869 -0.357222
   127.000 -0.593535  1.131952 -0.351644
   128.000 -0.604762  1.101751 -0.346043
   129.000 -0.615295  1.071304 -0.340423
   130.000 -0.625111  1.040649 -0.334786
   131.000 -0.634187  1.009825 -0.329137
   132.000 -0.642501  0.978868 -0.323475
   133.000 -0.650032  0.947818 -0.317803
   134.000 -0.656759  0.916713 -0.312122
   135.000 -0.662661  0.885591 -0.306432
   136.000 -0.667721  0.854490 -0.300733
   137.000 -0.671918  0.823450 -0.295025
   138.000 -0.675237  0.792507 -0.289307
   139.000 -0.677661  0.761700 -0.283577
   140.000 -0.679175  0.731067 -0.277834
   141.000 -0.679765  0.700645 -0.272076
   142.000 -0.679420  0.670471 -0.266300
   143.000 -0.678128  0.640582 -0.260505
   144.000 -0.675880  0.611014 -0.254687
   145.000 -0.672671  0.581802 -0.248843
   146.000 -0.668494  0.552983 -0.242970
   147.000 -0.663347  0.524592 -0.237066
   148.000 -0.657231  0.496661 -0.231128
   149.000 -0.650147  0.469225 -0.225153
   150.000 -0.642102  0.442317 -0.219138
   151.000 -0.633106  0.415968 -0.213082
   152.000 -0.623174  0.390210 -0.206985
   153.000 -0.612324  0.365074 -0.200846
   154.000 -0.600583  0.340590 -0.194666
   155.000 -0.587985  0.316786 -0.188448
   156.000 -0.574573  0.293690 -0.182199
   157.000 -0.560403  0.271329 -0.175926
   158.000 -0.545547  0.249730 -0.169643
   159.000 -0.530098  0.228917 -0.163369
   160.000 -0.514177  0.208914 -0.157128
   161.000 -0.497946  0.189745 -0.150960
   162.000 -0.481620  0.171431 -0.144916
   163.000 -0.465492  0.153994 -0.139071
   164.000 -0.449965  0.137452 -0.133530
   165.000 -0.435609  0.121824 -0.128447
   166.000 -0.423230  0.107128 -0.124042
   167.000 -0.413988  0.093380 -0.120635
   168.000 -0.409549  0.080594 -0.118695
   169.000 -0.412254  0.068785 -0.118879
   170.000 -0.425173  0.057965 -0.122060
   171.000 -0.451561  0.048144 -0.129169
   172.000 -0.492515  0.039335 -0.140532
   173.000 -0.541047  0.031544 -0.154187
   174.000 -0.574658  0.024779 -0.163741
   175.000 -0.560977  0.019047 -0.159940
   176.000 -0.485904  0.014352 -0.138667
   177.000 -0.367513  0.010699 -0.104986
   178.000 -0.232269  0.008088 -0.066413
   179.000 -0.094094  0.006522 -0.026929
   180.000  0.044164  0.006001  0.012632
   180.000  0.044164  0.006000  0.012583
